SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue,Date,Country
EMR,,2020,SEX_FMLE,2.267273622,2025-01-28T14:13:24.673+01:00,not found
SLV,Americas,2019,SEX_FMLE,3.180862417,2025-01-28T14:13:24.673+01:00,El Salvador
UGA,Africa,2009,SEX_MLE,21.04788919,2025-01-28T14:13:24.673+01:00,Uganda
CMR,Africa,2014,SEX_MLE,23.90266843,2025-01-28T14:13:24.673+01:00,Cameroon
CAN,Americas,2001,SEX_MLE,17.6078425,2025-01-28T14:13:24.673+01:00,Canada
SVK,Europe,2006,SEX_FMLE,3.104689123,2025-01-28T14:13:24.673+01:00,Slovakia
BIH,Europe,2002,SEX_BTSX,9.464985195,2025-01-28T14:13:24.673+01:00,Bosnia and Herzegovina
NER,Africa,2004,SEX_BTSX,7.843672416,2025-01-28T14:13:24.673+01:00,Niger
BLZ,Americas,2021,SEX_FMLE,1.618277938,2025-01-28T14:13:24.673+01:00,Belize
KEN,Africa,2009,SEX_MLE,17.3909166,2025-01-28T14:13:24.673+01:00,Kenya
BRB,Americas,2003,SEX_MLE,8.278836706,2025-01-28T14:13:24.673+01:00,Barbados
BRA,Americas,2001,SEX_FMLE,2.117169393,2025-01-28T14:13:24.673+01:00,Brazil
TGO,Africa,2019,SEX_MLE,25.73163757,2025-01-28T14:13:24.673+01:00,Togo
IRQ,Eastern Mediterranean,2016,SEX_MLE,6.544670982,2025-01-28T14:13:24.673+01:00,Iraq
PRY,Americas,2018,SEX_FMLE,3.970738652,2025-01-28T14:13:24.673+01:00,Paraguay
MLI,Africa,2005,SEX_BTSX,7.708228102,2025-01-28T14:13:24.673+01:00,Mali
PNG,Western Pacific,2021,SEX_BTSX,2.144471239,2025-01-28T14:13:24.673+01:00,Papua New Guinea
TTO,Americas,2019,SEX_FMLE,4.108124582,2025-01-28T14:13:24.673+01:00,Trinidad and Tobago
KIR,Western Pacific,2002,SEX_BTSX,20.92814057,2025-01-28T14:13:24.673+01:00,Kiribati
MNG,Western Pacific,2013,SEX_MLE,34.67823424,2025-01-28T14:13:24.673+01:00,Mongolia
SWZ,Africa,2012,SEX_MLE,39.24043831,2025-01-28T14:13:24.673+01:00,Eswatini
ECU,Americas,2020,SEX_MLE,12.13902792,2025-01-28T14:13:24.673+01:00,Ecuador
IRQ,Eastern Mediterranean,2003,SEX_MLE,8.18026259,2025-01-28T14:13:24.673+01:00,Iraq
WB_HI,,2021,SEX_MLE,18.0647856,2025-01-28T14:13:24.673+01:00,not found
HTI,Americas,2015,SEX_MLE,14.10218481,2025-01-28T14:13:24.673+01:00,Haiti
DEU,Europe,2001,SEX_FMLE,5.236000891,2025-01-28T14:13:24.673+01:00,Germany
WB_HI,,2019,SEX_MLE,18.51634514,2025-01-28T14:13:24.673+01:00,not found
QAT,Eastern Mediterranean,2008,SEX_FMLE,1.977308395,2025-01-28T14:13:24.673+01:00,Qatar
PRY,Americas,2011,SEX_MLE,7.899694719,2025-01-28T14:13:24.673+01:00,Paraguay
ZAF,Africa,2007,SEX_BTSX,17.37122042,2025-01-28T14:13:24.673+01:00,South Africa
GTM,Americas,2012,SEX_BTSX,5.31946532,2025-01-28T14:13:24.673+01:00,Guatemala
LBR,Africa,2018,SEX_FMLE,6.497124459,2025-01-28T14:13:24.673+01:00,Liberia
SUR,Americas,2019,SEX_MLE,41.98169413,2025-01-28T14:13:24.673+01:00,Suriname
TKM,Europe,2018,SEX_BTSX,7.563579449,2025-01-28T14:13:24.673+01:00,Turkmenistan
UZB,Europe,2000,SEX_BTSX,17.73965352,2025-01-28T14:13:24.673+01:00,Uzbekistan
VNM,Western Pacific,2009,SEX_FMLE,4.512105654,2025-01-28T14:13:24.673+01:00,Vietnam
TUR,Europe,2008,SEX_FMLE,1.210715983,2025-01-28T14:13:24.673+01:00,Türkiye
AFR,,2000,SEX_BTSX,11.84661677,2025-01-28T14:13:24.673+01:00,not found
TJK,Europe,2021,SEX_MLE,4.542455218,2025-01-28T14:13:24.673+01:00,Tajikistan
SDN,Eastern Mediterranean,2011,SEX_MLE,6.164402602,2025-01-28T14:13:24.673+01:00,Sudan
TUN,Eastern Mediterranean,2001,SEX_FMLE,2.211152526,2025-01-28T14:13:24.673+01:00,Tunisia
AFG,Eastern Mediterranean,2019,SEX_FMLE,3.847630705,2025-01-28T14:13:24.673+01:00,Afghanistan
SLE,Africa,2013,SEX_FMLE,6.748457928,2025-01-28T14:13:24.673+01:00,Sierra Leone
ALB,Europe,2018,SEX_MLE,4.197714216,2025-01-28T14:13:24.673+01:00,Albania
LAO,Western Pacific,2008,SEX_FMLE,3.399983378,2025-01-28T14:13:24.673+01:00,Laos
SSD,Africa,2017,SEX_BTSX,10.95802128,2025-01-28T14:13:24.673+01:00,South Sudan
DNK,Europe,2006,SEX_FMLE,6.678308633,2025-01-28T14:13:24.673+01:00,Denmark
BIH,Europe,2015,SEX_FMLE,3.008699855,2025-01-28T14:13:24.673+01:00,Bosnia and Herzegovina
MWI,Africa,2007,SEX_MLE,23.67205079,2025-01-28T14:13:24.673+01:00,Malawi
GTM,Americas,2019,SEX_MLE,9.894463818,2025-01-28T14:13:24.673+01:00,Guatemala
KOR,Western Pacific,2013,SEX_BTSX,24.28632662,2025-01-28T14:13:24.673+01:00,South Korea
MLT,Europe,2020,SEX_FMLE,2.517146968,2025-01-28T14:13:24.673+01:00,Malta
GHA,Africa,2014,SEX_MLE,14.7832161,2025-01-28T14:13:24.673+01:00,Ghana
BDI,Africa,2021,SEX_MLE,23.97339621,2025-01-28T14:13:24.673+01:00,Burundi
AMR,,2007,SEX_FMLE,3.463838034,2025-01-28T14:13:24.673+01:00,not found
TZA,Africa,2007,SEX_MLE,13.87435706,2025-01-28T14:13:24.673+01:00,Tanzania
SEAR,,2008,SEX_BTSX,12.86494942,2025-01-28T14:13:24.673+01:00,not found
SVK,Europe,2010,SEX_MLE,20.24882631,2025-01-28T14:13:24.673+01:00,Slovakia
GNQ,Africa,2002,SEX_FMLE,5.654835323,2025-01-28T14:13:24.673+01:00,Equatorial Guinea
SSD,Africa,2010,SEX_MLE,16.15098766,2025-01-28T14:13:24.673+01:00,South Sudan
HND,Americas,2003,SEX_MLE,7.611831452,2025-01-28T14:13:24.673+01:00,Honduras
DZA,Africa,2020,SEX_BTSX,1.850109835,2025-01-28T14:13:24.673+01:00,Algeria
BRA,Americas,2020,SEX_BTSX,6.360248193,2025-01-28T14:13:24.673+01:00,Brazil
GMB,Africa,2019,SEX_FMLE,5.367602753,2025-01-28T14:13:24.673+01:00,Gambia
UKR,Europe,2007,SEX_MLE,45.38657634,2025-01-28T14:13:24.673+01:00,Ukraine
CIV,Africa,2021,SEX_BTSX,12.66586382,2025-01-28T14:13:24.673+01:00,Cote d'Ivoire
EUR,,2021,SEX_FMLE,4.286260192,2025-01-28T14:13:24.673+01:00,not found
AFR,,2013,SEX_BTSX,11.14617876,2025-01-28T14:13:24.673+01:00,not found
IRQ,Eastern Mediterranean,2013,SEX_MLE,7.112716991,2025-01-28T14:13:24.673+01:00,Iraq
HTI,Americas,2004,SEX_FMLE,7.626766324,2025-01-28T14:13:24.673+01:00,Haiti
IRN,Eastern Mediterranean,2019,SEX_BTSX,4.178198188,2025-01-28T14:13:24.673+01:00,Iran
BGR,Europe,2012,SEX_BTSX,8.837732979,2025-01-28T14:13:24.673+01:00,Bulgaria
DZA,Africa,2018,SEX_BTSX,2.17574068,2025-01-28T14:13:24.673+01:00,Algeria
TCD,Africa,2019,SEX_FMLE,6.204330061,2025-01-28T14:13:24.673+01:00,Chad
MKD,Europe,2011,SEX_FMLE,2.357544003,2025-01-28T14:13:24.673+01:00,North Macedonia
DEU,Europe,2007,SEX_BTSX,8.961540706,2025-01-28T14:13:24.673+01:00,Germany
BGD,South-East Asia,2017,SEX_MLE,4.243764841,2025-01-28T14:13:24.673+01:00,Bangladesh
FSM,Western Pacific,2013,SEX_MLE,36.47085805,2025-01-28T14:13:24.673+01:00,"Micronesia, Fed. Sts."
CHE,Europe,2003,SEX_MLE,19.65263275,2025-01-28T14:13:24.673+01:00,Switzerland
MEX,Americas,2000,SEX_FMLE,1.168510044,2025-01-28T14:13:24.673+01:00,Mexico
QAT,Eastern Mediterranean,2006,SEX_FMLE,2.648512188,2025-01-28T14:13:24.673+01:00,Qatar
IRL,Europe,2016,SEX_FMLE,3.727797024,2025-01-28T14:13:24.673+01:00,Ireland
GRC,Europe,2014,SEX_MLE,6.580795323,2025-01-28T14:13:24.673+01:00,Greece
MEX,Americas,2012,SEX_FMLE,1.956244179,2025-01-28T14:13:24.673+01:00,Mexico
HTI,Americas,2005,SEX_FMLE,7.62778859,2025-01-28T14:13:24.673+01:00,Haiti
MKD,Europe,2020,SEX_FMLE,1.674363594,2025-01-28T14:13:24.673+01:00,North Macedonia
USA,Americas,2002,SEX_MLE,17.23352505,2025-01-28T14:13:24.673+01:00,United States
KIR,Western Pacific,2001,SEX_MLE,37.81872545,2025-01-28T14:13:24.673+01:00,Kiribati
LBY,Eastern Mediterranean,2021,SEX_BTSX,5.102921402,2025-01-28T14:13:24.673+01:00,Libya
JPN,Western Pacific,2020,SEX_MLE,19.45267316,2025-01-28T14:13:24.673+01:00,Japan
RWA,Africa,2001,SEX_BTSX,23.4333555,2025-01-28T14:13:24.673+01:00,Rwanda
MDA,Europe,2005,SEX_MLE,35.79854046,2025-01-28T14:13:24.673+01:00,Moldova
ZMB,Africa,2012,SEX_MLE,21.6539277,2025-01-28T14:13:24.673+01:00,Zambia
HND,Americas,2005,SEX_BTSX,4.519902295,2025-01-28T14:13:24.673+01:00,Honduras
ECU,Americas,2019,SEX_MLE,13.66991005,2025-01-28T14:13:24.673+01:00,Ecuador
LTU,Europe,2018,SEX_MLE,37.99993494,2025-01-28T14:13:24.673+01:00,Lithuania
AMR,,2021,SEX_MLE,14.6387808,2025-01-28T14:13:24.673+01:00,not found
SRB,Europe,2013,SEX_FMLE,6.036516077,2025-01-28T14:13:24.673+01:00,Serbia
AUS,Western Pacific,2015,SEX_BTSX,12.27775895,2025-01-28T14:13:24.673+01:00,Australia
CHE,Europe,2015,SEX_MLE,15.43845672,2025-01-28T14:13:24.673+01:00,Switzerland
WB_LI,,2013,SEX_BTSX,10.31850013,2025-01-28T14:13:24.673+01:00,not found
BEN,Africa,2000,SEX_FMLE,5.338039824,2025-01-28T14:13:24.673+01:00,Benin
MDA,Europe,2008,SEX_MLE,33.58713303,2025-01-28T14:13:24.673+01:00,Moldova
CYP,Europe,2004,SEX_MLE,1.238267166,2025-01-28T14:13:24.673+01:00,Cyprus
BGR,Europe,2015,SEX_FMLE,2.792914141,2025-01-28T14:13:24.673+01:00,Bulgaria
ISR,Europe,2009,SEX_FMLE,2.612983479,2025-01-28T14:13:24.673+01:00,Israel
MDA,Europe,2019,SEX_FMLE,3.24268749,2025-01-28T14:13:24.673+01:00,Moldova
PRY,Americas,2016,SEX_BTSX,6.112266432,2025-01-28T14:13:24.673+01:00,Paraguay
HRV,Europe,2003,SEX_BTSX,14.84777372,2025-01-28T14:13:24.673+01:00,Croatia
TZA,Africa,2008,SEX_MLE,13.72924785,2025-01-28T14:13:24.673+01:00,Tanzania
SVN,Europe,2021,SEX_BTSX,13.19910584,2025-01-28T14:13:24.673+01:00,Slovenia
ALB,Europe,2008,SEX_BTSX,6.930883492,2025-01-28T14:13:24.673+01:00,Albania
KAZ,Europe,2011,SEX_MLE,46.81261732,2025-01-28T14:13:24.673+01:00,Kazakhstan
MWI,Africa,2003,SEX_MLE,23.51895921,2025-01-28T14:13:24.673+01:00,Malawi
MRT,Africa,2006,SEX_MLE,6.55026084,2025-01-28T14:13:24.673+01:00,Mauritania
KAZ,Europe,2010,SEX_FMLE,9.641978724,2025-01-28T14:13:24.673+01:00,Kazakhstan
COL,Americas,2021,SEX_MLE,7.663308009,2025-01-28T14:13:24.673+01:00,Colombia
JPN,Western Pacific,2002,SEX_BTSX,18.07374512,2025-01-28T14:13:24.673+01:00,Japan
ECU,Americas,2012,SEX_MLE,12.34043898,2025-01-28T14:13:24.673+01:00,Ecuador
AFG,Eastern Mediterranean,2011,SEX_MLE,7.715561663,2025-01-28T14:13:24.673+01:00,Afghanistan
HRV,Europe,2004,SEX_BTSX,14.60720948,2025-01-28T14:13:24.673+01:00,Croatia
ERI,Africa,2014,SEX_FMLE,10.43673707,2025-01-28T14:13:24.673+01:00,Eritrea
MKD,Europe,2016,SEX_MLE,7.220821085,2025-01-28T14:13:24.673+01:00,North Macedonia
CHL,Americas,2000,SEX_BTSX,10.7987385,2025-01-28T14:13:24.673+01:00,Chile
ARG,Americas,2007,SEX_FMLE,3.285237973,2025-01-28T14:13:24.673+01:00,Argentina
COD,Africa,2020,SEX_MLE,25.13217457,2025-01-28T14:13:24.673+01:00,DR Congo
SAU,Eastern Mediterranean,2012,SEX_FMLE,1.191468997,2025-01-28T14:13:24.673+01:00,Saudi Arabia
GRC,Europe,2019,SEX_MLE,6.440128104,2025-01-28T14:13:24.673+01:00,Greece
CRI,Americas,2020,SEX_FMLE,2.895932464,2025-01-28T14:13:24.673+01:00,Costa Rica
LBY,Eastern Mediterranean,2011,SEX_MLE,9.182745179,2025-01-28T14:13:24.673+01:00,Libya
GHA,Africa,2000,SEX_FMLE,1.905993611,2025-01-28T14:13:24.673+01:00,Ghana
BRA,Americas,2010,SEX_FMLE,2.469341775,2025-01-28T14:13:24.673+01:00,Brazil
BIH,Europe,2013,SEX_FMLE,3.030760484,2025-01-28T14:13:24.673+01:00,Bosnia and Herzegovina
DEU,Europe,2005,SEX_BTSX,9.838533551,2025-01-28T14:13:24.673+01:00,Germany
ERI,Africa,2021,SEX_FMLE,10.470381,2025-01-28T14:13:24.673+01:00,Eritrea
BRN,Western Pacific,2012,SEX_FMLE,0.919307611,2025-01-28T14:13:24.673+01:00,Brunei Darussalam
GIN,Africa,2016,SEX_FMLE,5.73787606,2025-01-28T14:13:24.673+01:00,Guinea
TTO,Americas,2013,SEX_BTSX,10.59583277,2025-01-28T14:13:24.673+01:00,Trinidad and Tobago
AZE,Europe,2021,SEX_MLE,2.373887571,2025-01-28T14:13:24.673+01:00,Azerbaijan
TLS,South-East Asia,2006,SEX_MLE,5.458628711,2025-01-28T14:13:24.673+01:00,Timor-Leste
MNG,Western Pacific,2008,SEX_FMLE,5.768614765,2025-01-28T14:13:24.673+01:00,Mongolia
BLZ,Americas,2017,SEX_BTSX,6.823690602,2025-01-28T14:13:24.673+01:00,Belize
SDN,Eastern Mediterranean,2019,SEX_FMLE,2.856299154,2025-01-28T14:13:24.673+01:00,Sudan
POL,Europe,2012,SEX_MLE,27.87762576,2025-01-28T14:13:24.673+01:00,Poland
